WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
3,14.82,14.82,1,14.65,14.65,4,14.96,14.96,2,14.81,14.81
1,10.22,25.04,2,10.47,25.12,4,10.44,25.40,3,10.42,25.23
1,10.06,35.10,2,10.07,35.19,3,9.90,35.30,4,10.18,35.41
2,9.85,44.95,4,10.16,45.35,3,9.86,45.16,1,9.54,44.95
1,9.26,54.21,4,9.36,54.71,3,9.31,54.47,2,9.38,54.33
1,9.35,1:03.56,4,9.29,1:04.00,3,9.34,1:03.81,2,9.34,1:03.67
1,9.36,1:12.92,4,9.34,1:13.34,3,9.51,1:13.32,2,9.41,1:13.08
1,9.36,1:22.28,3,9.24,1:22.58,4,10.12,1:23.44,2,9.44,1:22.52
1,9.65,1:31.928,2,9.64,1:32.211,4,10.98,1:34.411,3,9.72,1:32.231
