LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
2,13.02,13.02,3,13.12,13.12,4,13.26,13.26,1,12.94,12.94
2,10.07,23.09,3,10.05,23.17,4,10.05,23.31,1,10.09,23.03
1,9.48,32.57,3,9.60,32.77,4,9.57,32.88,2,9.63,32.66
1,9.27,41.84,3,9.27,42.04,4,9.31,42.19,2,9.28,41.94
1,9.22,51.06,3,9.21,51.25,4,9.09,51.28,2,9.21,51.15
1,9.06,1:00.12,4,9.09,1:00.34,3,9.06,1:00.34,2,9.08,1:00.23
1,8.84,1:08.96,3,8.83,1:09.17,4,9.03,1:09.37,2,8.85,1:09.08
1,8.80,1:17.76,3,8.80,1:17.97,4,8.83,1:18.20,2,8.81,1:17.89
1,9.03,1:26.787,0,,PEN,3,9.07,1:27.267,2,9.18,1:27.065
