Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Jamie SUTTON POSITION,Jamie SUTTON LAP TIME,Jamie SUTTON ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME
2,8.86,8.86,1,8.73,8.73,6,9.31,9.31,4,8.95,8.95,3,8.90,8.90,5,9.13,9.13
3,11.79,20.65,2,11.84,20.57,6,11.78,21.09,4,11.81,20.76,1,11.58,20.48,5,11.77,20.90
3,11.40,32.05,2,11.38,31.95,6,11.42,32.51,4,11.44,32.20,1,11.36,31.84,5,11.43,32.33
3,11.15,43.20,2,11.14,43.09,6,11.09,43.60,4,11.21,43.41,1,11.19,43.03,5,11.16,43.49
3,10.67,53.87,1,10.65,53.74,6,10.74,54.34,4,10.67,54.08,2,10.75,53.78,5,10.74,54.23
3,10.56,1:04.43,2,10.53,1:04.27,6,10.46,1:04.80,5,10.63,1:04.71,1,10.45,1:04.23,4,10.38,1:04.61
3,10.12,1:14.55,2,10.18,1:14.45,6,10.07,1:14.87,5,10.05,1:14.76,1,10.11,1:14.34,4,10.03,1:14.64
3,10.34,1:24.89,2,10.33,1:24.78,6,10.42,1:25.29,5,10.38,1:25.14,1,10.33,1:24.67,4,10.36,1:25.00
3,10.08,1:34.97,2,10.07,1:34.85,6,10.01,1:35.30,5,10.07,1:35.21,1,10.09,1:34.76,4,10.09,1:35.09
3,9.91,1:44.88,1,9.89,1:44.74,4,9.76,1:45.06,6,10.02,1:45.23,2,10.00,1:44.76,5,9.98,1:45.07
3,9.38,1:54.26,1,9.42,1:54.16,2,9.18,1:54.24,6,9.73,1:54.96,4,9.71,1:54.47,5,9.56,1:54.63
3,9.38,2:03.64,2,9.40,2:03.56,1,9.20,2:03.44,6,9.82,2:04.78,4,9.92,2:04.39,5,9.84,2:04.47
2,9.33,2:12.97,3,9.46,2:13.02,1,9.43,2:12.87,6,10.30,2:15.08,4,10.33,2:14.72,5,10.54,2:15.01
3,9.89,2:22.859,2,9.79,2:22.804,1,9.86,2:22.721,5,10.40,2:25.473,4,10.41,2:25.128,6,10.83,2:25.840
