Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,13.08,13.08,2,13.23,13.23,3,13.36,13.36,5,13.71,13.71,4,13.54,13.54
1,10.03,23.11,2,10.03,23.26,3,10.00,23.36,5,9.89,23.60,4,9.94,23.48
1,9.86,32.97,2,9.82,33.08,3,9.84,33.20,5,9.79,33.39,4,9.83,33.31
1,9.90,42.87,2,9.90,42.98,3,9.88,43.08,5,9.92,43.31,4,9.87,43.18
1,9.52,52.39,2,9.50,52.48,3,9.46,52.54,5,9.46,52.77,4,9.53,52.71
1,9.23,1:01.62,2,9.24,1:01.72,3,9.20,1:01.74,5,9.28,1:02.05,4,9.05,1:01.76
1,9.07,1:10.69,4,9.46,1:11.18,3,9.41,1:11.15,5,9.42,1:11.47,2,9.05,1:10.81
2,9.39,1:20.08,3,9.48,1:20.66,5,21.60,1:32.75,4,9.72,1:21.19,1,9.05,1:19.86
2,9.75,1:29.822,3,9.92,1:30.577,5,21.51,1:54.252,4,10.00,1:31.187,1,9.45,1:29.310
