BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
4,13.32,13.32,1,13.15,13.15,1,13.15,13.15,3,13.30,13.30
1,9.54,22.86,2,9.83,22.98,4,10.08,23.23,3,9.79,23.09
1,9.37,32.23,2,9.35,32.33,4,9.28,32.51,3,9.33,32.42
2,9.38,41.61,1,9.22,41.55,4,9.25,41.76,3,9.21,41.63
3,9.27,50.88,2,9.20,50.75,4,9.23,50.99,1,8.95,50.58
3,8.95,59.83,2,9.07,59.82,4,9.01,1:00.00,1,9.06,59.64
2,9.11,1:08.94,4,9.53,1:09.35,3,9.04,1:09.04,1,9.06,1:08.70
2,9.00,1:17.94,4,10.23,1:19.58,3,9.03,1:18.07,1,9.10,1:17.80
2,9.17,1:27.11,4,11.52,1:31.10,3,9.21,1:27.28,1,9.20,1:27.00
