DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME
2,13.77,13.77,3,13.80,13.80,1,13.64,13.64,4,13.84,13.84
2,9.98,23.75,3,10.11,23.91,1,10.03,23.67,4,10.18,24.02
1,9.73,33.48,3,9.80,33.71,2,9.84,33.51,4,9.71,33.73
1,9.53,43.01,3,9.45,43.16,4,9.76,43.27,2,9.33,43.06
1,9.49,52.50,3,9.62,52.78,4,9.66,52.93,2,9.51,52.57
1,9.32,1:01.82,3,9.26,1:02.04,4,9.32,1:02.25,2,9.35,1:01.92
2,9.28,1:11.10,1,8.99,1:11.03,4,9.43,1:11.68,3,9.40,1:11.32
2,9.02,1:20.12,1,9.03,1:20.06,4,9.61,1:21.29,3,9.16,1:20.48
2,9.22,1:29.336,1,9.12,1:29.177,4,10.07,1:31.351,3,9.10,1:29.579
