Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.74,12.74,3,12.84,12.84,4,13.00,13.00,2,12.80,12.80
4,9.96,22.70,3,9.74,22.58,2,9.50,22.50,1,9.66,22.46
4,9.04,31.74,2,9.00,31.58,1,8.96,31.46,3,9.12,31.58
3,9.11,40.85,2,9.17,40.75,1,9.17,40.63,4,9.36,40.94
4,9.42,50.27,3,9.39,50.14,1,9.39,50.02,2,9.14,50.08
4,9.17,59.44,3,9.17,59.31,1,9.14,59.16,2,9.15,59.23
4,9.20,1:08.64,2,9.21,1:08.52,1,9.23,1:08.39,3,9.30,1:08.53
3,9.40,1:18.04,2,9.14,1:17.66,1,9.03,1:17.42,4,9.60,1:18.13
4,9.77,1:27.806,2,8.87,1:26.530,1,9.01,1:26.422,3,9.67,1:27.796
