Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
1,6.96,6.96,3,7.24,7.24,2,7.20,7.20
2,9.25,16.21,3,9.32,16.56,1,9.00,16.20
2,8.91,25.12,3,8.98,25.54,1,8.79,24.99
2,8.97,34.09,3,9.23,34.77,1,8.96,33.95
2,9.17,43.258,3,9.44,44.211,1,9.14,43.083
