PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME
3,14.43,14.43,4,14.55,14.55,1,14.34,14.34,2,14.41,14.41
4,11.31,25.74,3,11.10,25.65,1,11.23,25.57,2,11.21,25.62
4,10.60,36.34,2,10.48,36.13,1,10.48,36.05,3,10.60,36.22
3,10.31,46.65,2,10.45,46.58,1,10.44,46.49,4,10.50,46.72
3,9.72,56.37,2,9.68,56.26,1,9.68,56.17,4,9.75,56.47
3,9.54,1:05.91,2,9.55,1:05.81,1,9.54,1:05.71,4,9.59,1:06.06
3,9.42,1:15.33,2,9.41,1:15.22,1,9.43,1:15.14,4,9.38,1:15.44
3,9.44,1:24.77,2,9.48,1:24.70,1,9.44,1:24.58,4,9.43,1:24.87
0,9.48,1:34.25,0,9.55,1:34.25,1,9.49,1:34.07,4,9.52,1:34.394
