Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
2,9.050,9.050,6,10.340,10.340,5,9.940,9.940,4,9.740,9.740,3,9.540,9.540,1,8.890,8.890
2,12.760,21.810,3,11.730,22.080,6,12.930,22.880,5,12.700,22.440,4,12.660,22.200,1,12.660,21.560
3,11.720,33.540,4,11.660,33.740,1,10.410,33.300,6,11.580,34.020,5,11.580,33.780,2,11.760,33.320
2,10.960,44.500,3,10.880,44.620,6,12.440,45.740,5,11.440,45.470,4,11.030,44.810,1,10.860,44.180
3,10.850,55.360,4,10.860,55.490,2,9.340,55.090,5,10.190,55.670,6,10.910,55.730,1,10.870,55.060
2,10.450,1:05.810,3,10.440,1:05.940,5,11.040,1:06.130,6,10.590,1:06.260,4,10.290,1:06.030,1,10.550,1:05.610
4,10.240,1:16.050,3,10.100,1:16.040,1,9.660,1:15.800,5,10.200,1:16.470,6,10.520,1:16.550,2,10.280,1:15.890
4,10.240,1:26.290,3,10.240,1:26.290,5,10.590,1:26.400,6,10.180,1:26.650,2,9.700,1:26.250,1,10.230,1:26.120
4,10.000,1:36.300,1,9.670,1:35.970,3,9.760,1:36.160,6,9.960,1:36.620,5,10.220,1:36.470,2,9.970,1:36.090
4,9.380,1:45.680,2,9.640,1:45.610,5,9.540,1:45.700,6,9.500,1:46.120,3,9.200,1:45.680,1,9.310,1:45.410
2,9.260,1:54.950,6,12.560,1:58.170,4,9.470,1:55.170,5,9.240,1:55.370,3,9.430,1:55.110,1,9.470,1:54.880
5,9.370,2:04.320,2,5.840,2:04.020,1,8.780,2:03.950,6,9.380,2:04.760,4,9.170,2:04.280,3,9.180,2:04.060
3,9.320,2:13.640,6,11.140,2:15.170,2,9.530,2:13.480,4,8.910,2:13.680,5,9.420,2:13.710,1,9.320,2:13.380
4,9.410,2:23.060,2,7.640,2:22.810,5,9.930,2:23.410,3,9.210,2:22.900,6,9.730,2:23.440,1,9.410,2:22.800
