VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
2,13.68,13.68,3,13.86,13.86,4,13.98,13.98,1,13.65,13.65
2,10.57,24.25,3,10.51,24.37,4,10.48,24.46,1,10.49,24.14
3,10.37,34.62,2,10.11,34.48,4,10.19,34.65,1,10.24,34.38
3,10.20,44.82,2,10.23,44.71,4,10.27,44.92,1,10.23,44.61
3,10.27,55.09,2,10.27,54.98,4,10.31,55.23,1,10.29,54.90
3,10.34,1:05.43,2,10.35,1:05.33,4,10.26,1:05.49,1,10.30,1:05.20
3,9.91,1:15.34,2,9.87,1:15.20,4,9.97,1:15.46,1,9.89,1:15.09
3,9.82,1:25.16,2,9.84,1:25.04,4,9.87,1:25.33,1,9.86,1:24.95
3,10.00,1:35.153,2,10.01,1:35.050,4,10.02,1:35.349,1,10.00,1:34.941
