NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,7.08,7.08,1,7.03,7.03,3,7.14,7.14,4,7.38,7.38
3,9.33,16.41,1,9.09,16.12,2,9.07,16.21,4,9.13,16.51
3,8.67,25.08,1,8.52,24.64,2,8.52,24.73,4,8.64,25.15
4,9.15,34.23,1,8.60,33.24,2,8.63,33.36,3,8.73,33.88
4,9.74,43.970,0,9.01,42.25,2,8.91,42.270,3,9.06,42.949
