Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,13.060,13.060,4,14.430,14.430,3,13.220,13.220,2,13.150,13.150
1,10.270,23.340,2,9.180,23.610,4,10.800,24.020,3,10.500,23.650
1,10.180,33.520,2,9.990,33.610,4,9.950,33.980,3,10.170,33.830
1,10.150,43.670,4,10.410,44.020,2,9.850,43.830,3,10.040,43.870
1,9.290,52.960,2,9.250,53.280,4,9.760,53.600,3,9.440,53.320
3,9.520,1:02.490,1,9.120,1:02.400,4,9.320,1:02.920,2,9.110,1:02.440
1,8.880,1:11.380,2,9.160,1:11.560,4,9.410,1:12.330,3,9.170,1:11.610
1,9.220,1:20.600,2,9.220,1:20.790,4,8.880,1:21.220,3,9.280,1:20.890
1,9.680,1:30.280,2,9.540,1:30.330,4,9.220,1:30.440,3,9.500,1:30.400
