BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,7.09,7.09,1,6.90,6.90,3,7.13,7.13,4,7.29,7.29
2,9.29,16.38,1,9.26,16.16,3,9.39,16.52,4,9.29,16.58
2,8.83,25.21,1,8.95,25.11,3,8.80,25.32,4,8.83,25.41
1,8.55,33.76,3,8.74,33.85,2,8.53,33.85,4,8.63,34.04
1,8.97,42.727,4,9.25,43.096,2,8.99,42.834,3,8.89,42.922
