Stefan-Teodor FRIGHENCIU POSITION,Stefan-Teodor FRIGHENCIU LAP TIME,Stefan-Teodor FRIGHENCIU ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME
3,7.58,7.58,1,6.91,6.91,2,7.06,7.06,4,7.71,7.71,5,7.83,7.83
5,10.03,17.61,1,8.95,15.86,2,8.96,16.02,3,9.76,17.47,4,9.73,17.56
5,9.94,27.55,1,8.63,24.49,2,8.59,24.61,4,9.36,26.83,3,8.99,26.55
5,9.92,37.47,1,8.72,33.21,2,8.69,33.30,4,9.19,36.02,3,9.12,35.67
5,10.24,47.71,2,9.01,42.22,1,8.71,42.01,4,9.54,45.56,3,9.32,44.99
