FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
2,13.92,13.92,3,14.04,14.04,1,13.77,13.77,4,14.21,14.21
2,9.61,23.53,3,9.77,23.81,1,9.62,23.39,4,9.80,24.01
2,9.27,32.80,3,9.24,33.05,1,9.30,32.69,4,9.14,33.15
2,9.40,42.20,3,9.49,42.54,1,9.43,42.12,4,9.47,42.62
2,9.52,51.72,3,9.31,51.85,1,9.49,51.61,4,9.40,52.02
2,9.44,1:01.16,3,9.40,1:01.25,1,9.47,1:01.08,4,9.35,1:01.37
2,9.44,1:10.60,3,9.44,1:10.69,1,9.39,1:10.47,4,9.46,1:10.83
2,9.14,1:19.74,3,9.16,1:19.85,1,9.16,1:19.63,4,9.18,1:20.01
2,9.01,1:28.75,3,9.01,1:28.86,1,9.06,1:28.69,4,8.95,1:28.96
1,9.32,1:38.07,3,9.40,1:38.26,2,9.48,1:38.17,4,9.39,1:38.35
1,9.59,1:47.66,3,9.71,1:47.97,2,9.67,1:47.84,3,9.62,1:47.97
1,9.32,1:56.98,4,9.39,1:57.36,3,9.46,1:57.30,2,9.13,1:57.10
1,9.31,2:06.29,4,9.28,2:06.64,3,9.22,2:06.52,2,9.28,2:06.38
1,8.96,2:15.25,4,9.18,2:15.82,3,9.12,2:15.64,2,9.14,2:15.52
1,9.13,2:24.38,4,8.91,2:24.73,3,9.06,2:24.70,2,8.95,2:24.47
1,9.00,2:33.38,4,9.29,2:34.02,3,9.14,2:33.84,2,9.01,2:33.48
1,9.19,2:42.57,4,9.11,2:43.13,3,9.18,2:43.02,2,9.17,2:42.65
1,9.01,2:51.58,4,9.29,2:52.42,3,9.37,2:52.39,2,9.08,2:51.73
1,9.01,3:00.59,4,9.31,3:01.73,3,9.28,3:01.67,2,8.97,3:00.70
1,8.84,3:09.43,4,9.19,3:10.92,3,9.10,3:10.77,2,8.90,3:09.60
1,8.99,3:18.42,4,8.91,3:19.83,3,8.97,3:19.74,2,8.91,3:18.51
1,9.10,3:27.52,4,9.26,3:29.09,3,9.27,3:29.01,2,9.12,3:27.63
1,9.10,3:36.62,4,9.38,3:38.47,3,9.37,3:38.38,2,9.11,3:36.74
1,8.93,3:45.55,4,9.44,3:47.91,3,9.43,3:47.81,2,8.98,3:45.72
1,9.04,3:54.59,4,9.58,3:57.49,3,9.53,3:57.34,2,8.97,3:54.69
1,8.81,4:03.40,4,9.28,4:06.77,3,9.28,4:06.62,2,8.94,4:03.63
1,8.91,4:12.31,4,9.29,4:16.06,3,9.33,4:15.95,2,8.76,4:12.39
1,9.11,4:21.42,4,9.35,4:25.41,3,9.35,4:25.30,2,9.12,4:21.51
2,9.27,4:30.69,4,9.39,4:34.80,3,9.38,4:34.68,1,9.07,4:30.58
2,9.05,4:39.74,3,9.25,4:44.05,4,9.68,4:44.36,1,9.06,4:39.64
2,9.00,4:48.74,3,9.49,4:53.54,4,9.56,4:53.92,1,9.00,4:48.64
2,8.78,4:57.52,3,9.36,5:02.90,4,9.33,5:03.25,1,8.79,4:57.43
2,8.76,5:06.28,3,9.14,5:12.04,4,9.33,5:12.58,1,8.70,5:06.13
2,8.78,5:15.06,3,9.46,5:21.50,4,9.40,5:21.98,1,8.76,5:14.89
2,8.91,5:23.97,3,9.82,5:31.32,4,9.66,5:31.64,1,8.97,5:23.86
2,9.08,5:33.05,3,9.29,5:40.61,4,9.72,5:41.36,1,9.12,5:32.98
2,9.03,5:42.08,3,9.15,5:49.76,4,9.89,5:51.25,1,8.97,5:41.95
2,8.81,5:50.89,3,9.09,5:58.85,4,9.48,6:00.73,1,8.83,5:50.78
2,8.82,5:59.71,3,8.93,6:07.78,4,9.50,6:10.23,1,8.75,5:59.53
2,8.78,6:08.49,3,9.47,6:17.25,4,9.54,6:19.77,1,8.81,6:08.34
2,8.94,6:17.43,3,9.62,6:26.87,4,9.97,6:29.74,1,9.00,6:17.34
2,9.12,6:26.55,3,9.45,6:36.32,4,10.49,6:40.23,1,9.13,6:26.47
2,9.05,6:35.60,3,9.12,6:45.44,4,10.00,6:50.23,1,9.02,6:35.49
2,8.64,6:44.24,3,9.33,6:54.77,4,9.49,6:59.72,1,8.63,6:44.12
2,8.61,6:52.85,3,9.26,7:04.03,4,9.78,7:09.508,1,8.63,6:52.75
