Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,12.66,12.66,3,12.82,12.82,1,12.54,12.54
2,9.44,22.10,3,9.38,22.20,1,9.43,21.97
2,9.41,31.51,3,9.42,31.62,1,9.46,31.43
2,9.47,40.98,3,9.46,41.08,1,9.45,40.88
2,9.53,50.51,3,9.51,50.59,1,9.59,50.47
3,9.78,1:00.29,2,9.49,1:00.08,1,9.56,1:00.03
3,9.54,1:09.83,1,9.57,1:09.65,2,9.75,1:09.78
2,9.36,1:19.19,1,9.34,1:18.99,3,10.04,1:19.82
2,9.65,1:28.833,1,9.39,1:28.372,3,10.29,1:30.106
