Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Smogar DARKO POSITION,Smogar DARKO LAP TIME,Smogar DARKO ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
2,14.43,14.43,4,14.66,14.66,5,14.78,14.78,3,14.52,14.52,1,14.31,14.31
2,11.69,26.12,4,11.74,26.40,5,11.77,26.55,3,11.73,26.25,1,11.67,25.98
2,11.16,37.28,4,11.05,37.45,5,11.05,37.60,3,11.11,37.36,1,11.17,37.15
2,11.10,48.38,5,11.25,48.70,3,10.97,48.57,4,11.27,48.63,1,11.06,48.21
2,9.75,58.13,4,9.86,58.56,3,9.76,58.33,5,10.09,58.72,1,9.76,57.97
2,9.74,1:07.87,4,9.61,1:08.17,3,9.67,1:08.00,5,9.55,1:08.27,1,9.55,1:07.52
2,9.57,1:17.44,3,9.63,1:17.80,5,19.83,1:27.83,4,9.69,1:17.96,1,9.46,1:16.98
2,9.86,1:27.30,3,9.69,1:27.49,5,17.43,1:45.26,4,10.46,1:28.42,1,9.65,1:26.63
2,9.76,1:37.059,3,9.63,1:37.117,5,14.17,1:59.425,4,11.52,1:39.938,1,9.69,1:36.320
