Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Victor MARTINEZ-BLANCH POSITION,Victor MARTINEZ-BLANCH LAP TIME,Victor MARTINEZ-BLANCH ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME
3,13.75,13.75,2,13.61,13.61,1,13.51,13.51,6,13.98,13.98,4,13.84,13.84,5,13.86,13.86
3,10.07,23.82,2,10.12,23.73,1,10.14,23.65,5,10.10,24.08,4,10.12,23.96,6,10.23,24.09
4,10.03,33.85,2,10.05,33.78,1,10.00,33.65,6,9.97,34.05,3,9.83,33.79,5,9.85,33.94
3,9.81,43.66,4,9.89,43.67,1,9.82,43.47,6,9.91,43.96,2,9.77,43.56,5,9.84,43.78
2,9.35,53.01,4,9.64,53.31,1,9.51,52.98,6,9.59,53.55,3,9.57,53.13,5,9.66,53.44
1,9.47,1:02.48,4,9.45,1:02.76,2,9.56,1:02.54,6,9.40,1:02.95,3,9.49,1:02.62,5,9.43,1:02.87
1,9.58,1:12.06,5,9.80,1:12.56,2,9.63,1:12.17,6,9.73,1:12.68,3,9.69,1:12.31,4,9.58,1:12.45
1,9.86,1:21.92,6,9.90,1:22.46,2,9.77,1:21.94,5,9.68,1:22.36,3,9.86,1:22.17,4,9.85,1:22.30
6,10.73,1:32.637,5,10.05,1:32.492,1,10.14,1:32.070,4,9.90,1:32.252,3,,1:32.181,2,,1:32.179
