BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME
1,16.88,16.88,2,17.03,17.03,3,17.37,17.37
1,12.47,29.35,2,12.45,29.48,3,12.21,29.58
1,11.47,40.82,2,11.48,40.96,3,11.50,41.08
1,10.32,51.14,2,10.23,51.19,3,10.16,51.24
1,9.42,1:00.56,2,9.49,1:00.68,3,9.56,1:00.80
2,9.61,1:10.17,1,9.40,1:10.08,3,9.55,1:10.35
1,9.07,1:19.24,2,9.30,1:19.38,3,9.17,1:19.52
1,9.11,1:28.35,2,9.14,1:28.52,3,9.10,1:28.62
1,9.26,1:37.610,2,9.41,1:37.928,3,9.38,1:37.997
