Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,7.088,7.088,3,7.238,7.238,2,7.203,7.203,4,7.312,7.312,5,7.350,7.350
1,9.379,16.467,4,9.753,16.990,3,9.620,16.823,2,9.497,16.808,5,9.807,17.156
1,9.018,25.485,5,9.330,26.320,2,8.733,25.555,3,8.845,25.653,4,9.162,26.317
1,8.997,34.481,5,9.423,35.743,2,8.988,34.542,3,8.900,34.553,4,9.125,35.441
2,9.46,43.934,5,10.03,45.773,3,9.45,43.986,1,9.32,43.864,4,10.01,45.446
