Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,13.01,13.01,4,13.35,13.35,2,13.14,13.14,3,13.33,13.33
1,10.15,23.16,4,10.18,23.53,2,10.15,23.29,3,10.09,23.42
1,9.87,33.03,3,9.67,33.20,2,9.88,33.17,4,9.89,33.31
2,9.12,42.15,1,8.86,42.06,3,9.04,42.21,4,9.33,42.64
2,9.02,51.17,1,9.01,51.07,3,9.15,51.36,4,8.97,51.61
2,9.15,1:00.32,1,9.16,1:00.23,3,9.12,1:00.48,4,9.11,1:00.72
2,9.19,1:09.51,1,9.18,1:09.41,3,9.14,1:09.62,4,9.36,1:10.08
2,9.17,1:18.68,1,9.19,1:18.60,3,9.19,1:18.81,4,9.91,1:19.99
3,19.46,1:38.136,1,9.27,1:27.870,0,,PEN,2,10.42,1:30.407
