ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
1,13.42,13.42,3,13.59,13.59,2,13.56,13.56,4,13.72,13.72
2,10.58,24.00,1,10.24,23.84,4,10.57,24.14,3,10.34,24.06
2,9.86,33.86,1,9.83,33.67,3,9.76,33.91,4,9.89,33.95
1,9.77,43.63,2,10.12,43.79,3,9.92,43.83,4,9.98,43.93
2,9.93,53.57,4,9.93,53.73,1,9.69,53.52,3,9.77,53.71
2,9.78,1:03.35,3,9.68,1:03.42,1,9.68,1:03.21,4,9.79,1:03.50
2,9.81,1:13.17,3,9.81,1:13.23,1,9.69,1:12.90,4,9.86,1:13.37
2,9.87,1:23.04,3,9.94,1:23.18,1,10.12,1:23.03,4,10.07,1:23.44
2,1:456.96,9:59.992,1,1:456.82,9:59.991,3,1:456.97,9:59.993,4,1:456.56,9:59.994
