KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
1,15.18,15.18,2,15.81,15.81,3,15.90,15.90,4,21.95,21.95
1,10.45,25.63,3,10.17,25.98,4,10.43,26.33,2,,25.83
2,10.56,36.19,4,10.75,36.73,3,10.23,36.56,1,10.19,36.02
2,10.76,46.95,3,10.40,47.13,4,10.68,47.24,1,10.58,46.60
1,10.02,56.97,3,10.42,57.55,4,10.49,57.73,2,10.54,57.14
2,10.18,1:07.15,1,9.52,1:07.07,3,9.68,1:07.41,4,11.03,1:08.17
4,10.01,1:17.16,3,9.82,1:16.89,2,9.40,1:16.81,1,8.34,1:16.51
4,9.34,1:26.50,2,9.03,1:25.92,3,9.18,1:25.99,1,9.11,1:25.62
4,9.87,1:36.370,1,9.07,1:34.982,2,9.07,1:35.058,3,10.67,1:36.287
