Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
2,12.76,12.76,1,12.62,12.62,3,12.87,12.87,4,13.11,13.11,5,13.19,13.19
2,10.01,22.77,1,10.05,22.67,3,10.00,22.87,4,9.89,23.00,5,9.88,23.07
2,9.82,32.59,1,9.79,32.46,3,9.83,32.70,5,9.82,32.82,4,9.74,32.81
2,9.60,42.19,1,9.58,42.04,4,9.67,42.37,5,9.74,42.56,3,9.47,42.28
3,9.51,51.70,2,9.56,51.60,4,9.34,51.71,5,9.74,52.30,1,9.28,51.56
4,9.41,1:01.11,3,9.50,1:01.10,2,9.01,1:00.72,5,9.57,1:01.87,1,9.09,1:00.65
4,9.52,1:10.63,3,9.18,1:10.28,2,9.16,1:09.88,5,9.72,1:11.59,1,9.11,1:09.76
4,9.39,1:20.02,3,9.17,1:19.45,2,9.38,1:19.26,5,10.19,1:21.78,1,9.18,1:18.94
4,9.66,1:29.674,2,9.58,1:29.024,3,10.06,1:29.312,5,11.05,1:32.822,1,9.36,1:28.293
