Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Florian FEICHTNER POSITION,Florian FEICHTNER LAP TIME,Florian FEICHTNER ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
2,8.06,8.06,1,7.95,7.95,6,8.93,8.93,3,8.17,8.17,5,8.72,8.72,4,8.55,8.55
2,11.49,19.55,1,11.53,19.48,5,11.28,20.21,3,11.47,19.64,6,11.57,20.29,4,11.38,19.93
2,11.31,30.86,1,11.32,30.80,6,11.23,31.44,3,11.41,31.05,4,11.10,31.39,5,11.51,31.44
2,11.33,42.19,1,11.30,42.10,6,11.29,42.73,3,11.31,42.36,5,11.12,42.51,4,11.06,42.50
2,11.25,53.44,1,11.22,53.32,6,11.27,54.00,3,11.08,53.44,5,11.23,53.74,4,11.11,53.61
1,10.12,1:03.56,3,10.55,1:03.87,6,10.14,1:04.14,2,10.22,1:03.66,5,10.30,1:04.04,4,10.30,1:03.91
1,10.24,1:13.80,4,10.33,1:14.20,6,10.23,1:14.37,2,10.31,1:13.97,5,10.22,1:14.26,3,10.27,1:14.18
1,10.66,1:24.46,4,10.61,1:24.81,3,10.39,1:24.76,2,10.67,1:24.64,5,10.56,1:24.82,6,10.66,1:24.84
2,10.37,1:34.83,6,10.58,1:35.39,1,9.73,1:34.49,3,10.24,1:34.88,5,10.44,1:35.26,4,10.27,1:35.11
2,9.73,1:44.56,5,9.99,1:45.38,1,9.97,1:44.46,3,9.78,1:44.66,6,10.58,1:45.84,4,9.89,1:45.00
2,10.11,1:54.67,5,10.37,1:55.75,1,10.09,1:54.55,3,10.12,1:54.78,6,10.67,1:56.51,4,10.04,1:55.04
3,10.20,2:04.87,5,10.69,2:06.44,1,9.94,2:04.49,2,10.00,2:04.78,6,11.27,2:07.78,4,10.45,2:05.49
3,10.38,2:15.25,5,10.87,2:17.31,1,10.22,2:14.71,2,10.20,2:14.98,6,12.42,2:20.20,4,10.43,2:15.92
3,10.98,2:26.226,5,11.33,2:28.637,1,10.33,2:25.035,2,10.17,2:25.148,6,12.26,2:32.451,4,10.34,2:26.258
