Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME
3,12.75,12.75,1,12.73,12.73,4,13.28,13.28,2,12.73,12.73,5,13.58,13.58
3,10.19,22.95,1,10.06,22.79,4,9.87,23.15,2,10.14,22.88,5,10.23,23.81
2,9.90,32.86,1,10.06,32.85,4,10.08,33.23,3,10.13,33.01,5,10.40,34.21
2,9.94,42.80,1,9.90,42.76,4,9.92,43.15,3,9.92,42.93,5,10.49,44.71
2,9.51,52.31,3,9.57,52.34,4,9.79,52.95,1,9.34,52.28,5,10.44,55.15
2,9.50,1:01.81,1,9.41,1:01.75,4,9.55,1:02.50,3,9.56,1:01.84,5,10.99,1:06.15
2,9.49,1:11.30,3,9.57,1:11.33,4,9.61,1:12.12,1,9.41,1:11.26,5,11.21,1:17.36
1,9.21,1:20.52,2,9.40,1:20.74,4,9.79,1:21.91,3,9.48,1:20.74,5,11.41,1:28.78
1,9.72,1:30.231,3,10.22,1:30.960,4,10.31,1:32.215,2,9.67,1:30.404,5,11.79,1:40.569
