Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,14.40,14.40,1,14.15,14.15,2,14.27,14.27,4,14.40,14.40
4,10.85,25.25,1,10.76,24.91,2,10.75,25.02,3,10.74,25.14
4,10.27,35.52,1,10.28,35.19,2,10.28,35.30,3,10.28,35.42
4,10.42,45.94,1,10.45,45.64,2,10.43,45.73,3,10.41,45.83
4,10.06,56.00,1,10.06,55.70,2,10.05,55.78,3,10.08,55.91
4,9.84,1:05.84,1,9.75,1:05.45,2,9.77,1:05.55,3,9.83,1:05.74
3,9.88,1:15.72,1,9.96,1:15.41,2,9.97,1:15.52,4,10.30,1:16.04
3,9.55,1:25.27,1,9.64,1:25.05,2,9.68,1:25.20,4,10.54,1:26.58
3,9.84,1:35.107,1,9.91,1:34.953,2,9.87,1:35.069,4,11.60,1:38.175
