CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME
2,8.559,8.559,5,9.126,9.126,1,8.362,8.362,4,8.843,8.843,3,8.731,8.731
2,11.241,19.800,5,11.227,20.352,1,11.346,19.707,3,11.235,20.078,4,11.485,20.215
2,10.773,30.572,4,10.703,31.055,1,10.770,30.477,3,10.867,30.944,5,10.845,31.060
2,10.408,40.980,3,10.171,41.225,1,10.371,40.847,4,10.332,41.276,5,10.527,41.586
2,10.564,51.543,4,10.603,51.828,1,10.500,51.347,3,10.515,51.790,5,10.270,51.856
2,10.418,1:01.961,4,10.499,1:02.326,1,10.488,1:01.835,3,10.414,1:02.204,5,10.497,1:02.353
2,10.082,1:12.043,4,9.959,1:12.285,1,10.090,1:11.924,3,10.050,1:12.253,5,10.542,1:12.895
2,10.062,1:22.104,3,10.036,1:22.321,1,10.108,1:22.031,4,10.103,1:22.356,5,11.164,1:24.058
1,9.485,1:31.589,4,9.406,1:31.726,3,9.656,1:31.687,2,9.326,1:31.682,5,11.551,1:35.609
1,9.314,1:40.903,3,9.465,1:41.191,4,9.567,1:41.254,2,9.492,1:41.173,5,11.426,1:47.034
2,9.859,1:50.762,1,9.554,1:50.745,4,9.576,1:50.830,3,9.591,1:50.764,5,12.391,1:59.425
2,9.514,2:00.275,1,9.259,2:00.004,4,9.693,2:00.522,3,9.564,2:00.327,5,13.087,2:12.511
2,9.522,2:09.796,1,9.217,2:09.221,4,9.770,2:10.292,3,9.473,2:09.800,5,12.248,2:24.759
3,9.69,2:19.484,1,9.96,2:19.181,4,10.20,2:20.488,2,9.58,2:19.381,5,13.12,2:37.870
