LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
2,6.96,6.96,1,6.90,6.90,3,7.10,7.10,4,7.29,7.29
2,9.14,16.10,1,8.93,15.83,3,9.09,16.19,4,9.01,16.30
4,8.95,25.05,1,8.54,24.37,2,8.58,24.77,3,8.59,24.89
4,26.24,51.29,1,8.66,33.03,2,8.93,33.70,3,8.93,33.82
4,15.43,1:06.719,1,8.84,41.866,2,9.14,42.838,3,9.11,42.921
