Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,9.39,9.39,3,9.89,9.89,2,9.65,9.65,4,9.90,9.90,5,10.23,10.23
1,14.29,23.69,2,13.90,23.79,3,14.52,24.18,4,14.30,24.20,5,14.12,24.36
1,12.93,36.62,2,13.06,36.86,3,12.74,36.93,4,12.80,37.00,5,12.90,37.27
1,11.27,47.90,2,11.18,48.04,4,11.31,48.24,3,11.17,48.18,5,11.04,48.31
2,10.74,58.64,3,10.71,58.75,1,10.20,58.44,4,10.68,58.86,5,10.73,59.05
1,11.08,1:09.73,3,11.23,1:09.99,2,11.41,1:09.86,4,11.15,1:10.01,5,11.17,1:10.23
1,11.07,1:20.80,5,11.15,1:21.14,2,11.03,1:20.89,4,11.12,1:21.14,3,10.67,1:20.90
1,10.49,1:31.29,3,10.23,1:31.37,4,10.55,1:31.45,5,10.47,1:31.61,2,10.44,1:31.34
2,9.73,1:41.02,3,9.82,1:41.20,1,9.55,1:41.00,5,9.87,1:41.49,4,9.92,1:41.27
2,9.35,1:50.38,4,9.44,1:50.65,1,9.25,1:50.26,5,9.42,1:50.91,3,9.30,1:50.57
2,9.35,1:59.74,4,9.35,2:00.00,1,9.36,1:59.62,5,9.56,2:00.48,3,9.25,1:59.82
2,9.32,2:09.07,4,9.48,2:09.49,3,9.53,2:09.15,5,9.86,2:10.35,1,9.20,2:09.03
2,9.20,2:18.28,4,9.65,2:19.14,3,9.40,2:18.56,5,10.31,2:20.67,1,9.08,2:18.11
2,9.78,2:28.058,4,10.26,2:29.391,3,10.11,2:28.668,5,11.00,2:31.665,1,9.72,2:27.827
