Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.814,6.814,3,7.269,7.269,4,7.320,7.320,2,6.895,6.895
1,9.287,16.101,3,9.235,16.503,4,9.293,16.613,2,9.304,16.198
2,9.007,25.107,3,8.804,25.306,4,8.797,25.409,1,8.893,25.090
2,9.140,34.246,3,9.121,34.427,4,9.163,34.572,1,9.116,34.206
2,9.39,43.627,3,9.23,43.655,4,9.16,43.726,1,9.18,43.377
