Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,7.95,7.95,2,7.75,7.75,1,7.66,7.66,4,8.07,8.07,5,8.18,8.18,6,8.35,8.35
3,10.61,18.56,2,10.67,18.42,1,10.66,18.32,4,10.58,18.65,5,10.57,18.75,6,10.54,18.89
3,10.37,28.93,2,10.32,28.74,1,10.26,28.58,4,10.38,29.03,5,10.41,29.16,6,10.40,29.29
3,9.83,38.76,2,9.82,38.56,1,9.86,38.44,4,9.84,38.87,5,9.83,38.99,6,9.88,39.17
3,9.64,48.40,2,9.61,48.17,1,9.61,48.05,4,9.61,48.48,5,9.59,48.58,6,9.51,48.68
3,9.73,58.13,2,9.83,58.00,1,9.86,57.91,4,9.74,58.22,5,9.75,58.33,6,9.79,58.47
3,9.85,1:07.98,2,9.74,1:07.74,1,9.80,1:07.71,4,9.87,1:08.09,5,9.87,1:08.20,6,9.83,1:08.30
3,9.70,1:17.68,2,9.84,1:17.58,1,9.76,1:17.47,4,9.68,1:17.77,5,9.67,1:17.87,6,9.70,1:18.00
1,9.24,1:26.92,3,9.53,1:27.11,2,9.61,1:27.08,4,9.48,1:27.25,5,9.48,1:27.35,6,9.46,1:27.46
1,9.36,1:36.28,2,9.24,1:36.35,6,10.03,1:37.11,4,9.63,1:36.88,5,9.56,1:36.91,3,9.39,1:36.85
1,9.65,1:45.93,2,9.61,1:45.96,6,10.23,1:47.34,4,10.20,1:47.08,5,10.28,1:47.19,3,9.14,1:45.99
2,9.75,1:55.68,3,9.77,1:55.73,6,9.98,1:57.32,4,10.05,1:57.13,5,10.03,1:57.22,1,9.09,1:55.08
3,9.87,2:05.55,2,9.54,2:05.27,5,9.99,2:07.31,4,10.14,2:07.27,6,10.21,2:07.43,1,9.07,2:04.15
3,10.37,2:15.920,2,9.81,2:15.076,4,10.45,2:17.751,0,,PEN,5,10.43,2:17.851,1,9.83,2:13.976
