TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
1,12.85,12.85,4,13.18,13.18,3,13.06,13.06,2,12.96,12.96
2,10.41,23.26,4,10.34,23.52,3,10.36,23.42,1,10.22,23.18
1,9.94,33.20,4,10.08,33.60,3,10.02,33.44,2,10.06,33.24
2,9.46,42.66,3,9.30,42.90,4,9.58,43.02,1,9.40,42.64
2,9.11,51.77,3,9.02,51.92,4,9.03,52.05,1,9.05,51.69
3,9.05,1:00.82,2,8.88,1:00.80,4,9.17,1:01.22,1,9.06,1:00.75
3,9.29,1:10.11,2,9.26,1:10.06,4,9.53,1:10.75,1,9.20,1:09.95
3,9.26,1:19.37,1,9.15,1:19.21,4,10.09,1:20.84,2,9.35,1:19.30
0,9.39,1:28.76,1,9.42,1:28.63,4,10.69,1:31.53,0,9.47,1:28.77
