Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Lorenzo MORRONE POSITION,Lorenzo MORRONE LAP TIME,Lorenzo MORRONE ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME
2,12.41,12.41,5,12.72,12.72,1,12.31,12.31,3,12.59,12.59,4,12.64,12.64
2,9.54,21.95,5,9.52,22.24,1,9.54,21.85,3,9.47,22.06,4,9.48,22.12
1,9.33,31.28,5,9.58,31.82,2,9.56,31.41,3,9.44,31.50,4,9.53,31.65
1,9.19,40.47,5,9.16,40.98,2,9.14,40.55,3,9.17,40.67,4,9.18,40.83
1,9.16,49.63,5,9.06,50.04,2,9.17,49.72,3,9.16,49.83,4,9.09,49.92
2,9.19,58.82,5,9.09,59.13,1,8.98,58.70,4,9.13,58.96,3,8.96,58.88
2,9.05,1:07.87,5,9.16,1:08.29,1,9.02,1:07.72,4,9.15,1:08.11,3,9.10,1:07.98
3,9.15,1:17.02,5,9.43,1:17.72,1,8.96,1:16.68,4,9.06,1:17.17,2,8.88,1:16.86
3,9.62,1:26.64,5,9.70,1:27.42,1,9.18,1:25.86,4,9.70,1:26.87,2,9.19,1:26.05
