CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
1,8.96,8.96,3,9.20,9.20,2,9.09,9.09,5,9.41,9.41,4,9.29,9.29
1,13.71,22.67,3,13.73,22.93,2,13.69,22.78,5,13.80,23.21,4,13.81,23.10
2,13.37,36.04,1,13.02,35.95,3,13.30,36.08,5,13.09,36.30,4,13.11,36.21
1,11.19,47.23,3,11.48,47.43,2,11.23,47.31,5,11.33,47.63,4,11.32,47.53
1,11.27,58.50,3,11.28,58.71,2,11.28,58.59,5,11.28,58.91,4,11.29,58.82
1,10.67,1:09.17,4,10.80,1:09.51,2,10.68,1:09.27,5,10.65,1:09.56,3,10.48,1:09.30
1,10.14,1:19.31,4,10.15,1:19.66,2,10.15,1:19.42,5,10.18,1:19.74,3,10.22,1:19.52
1,10.27,1:29.58,4,10.22,1:29.88,2,10.27,1:29.69,5,10.23,1:29.97,3,10.28,1:29.80
1,10.12,1:39.70,4,10.12,1:40.00,2,10.12,1:39.81,5,10.14,1:40.11,3,10.11,1:39.91
1,10.01,1:49.71,4,10.01,1:50.01,2,9.99,1:49.80,5,10.01,1:50.12,3,10.00,1:49.91
1,9.87,1:59.58,4,9.87,1:59.88,2,9.89,1:59.69,5,9.95,2:00.07,3,9.89,1:59.80
1,9.73,2:09.31,4,9.77,2:09.65,2,9.77,2:09.46,5,10.22,2:10.29,3,9.76,2:09.56
1,9.74,2:19.05,4,9.81,2:19.46,2,9.83,2:19.29,5,10.94,2:21.23,3,9.83,2:19.39
1,9.92,2:28.968,4,10.02,2:29.476,2,10.00,2:29.282,5,11.69,2:32.916,3,9.98,2:29.362
