KIM Sunghan POSITION,KIM Sunghan LAP TIME,KIM Sunghan ELAPSED TIME,Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,Shota UEMURA POSITION,Shota UEMURA LAP TIME,Shota UEMURA ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
4,13.30,13.30,3,13.26,13.26,2,13.25,13.25,1,13.12,13.12
1,10.34,23.64,4,10.67,23.93,2,10.53,23.78,3,10.67,23.79
1,10.74,34.38,2,10.49,34.42,3,10.72,34.50,4,10.72,34.51
1,10.12,44.50,3,10.33,44.75,2,10.13,44.63,4,10.25,44.76
1,9.81,54.31,4,9.80,54.55,2,9.74,54.37,3,9.72,54.48
1,9.77,1:04.08,4,9.83,1:04.38,2,9.75,1:04.12,3,9.75,1:04.23
2,9.93,1:14.01,3,9.78,1:14.16,1,9.73,1:13.85,4,10.23,1:14.46
1,9.92,1:23.93,2,10.03,1:24.19,3,10.56,1:24.41,4,9.99,1:24.45
1,10.04,1:33.969,2,9.93,1:34.116,0,,DQ,3,9.85,1:34.298
