Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,13.00,13.00,2,13.04,13.04,4,13.33,13.33,3,13.21,13.21
3,10.32,23.32,1,10.12,23.16,4,10.14,23.47,2,10.07,23.28
3,9.61,32.93,1,9.59,32.75,4,9.50,32.97,2,9.59,32.87
4,10.28,43.21,1,9.89,42.64,3,9.91,42.88,2,9.91,42.78
4,9.56,52.77,2,9.89,52.53,3,9.80,52.68,1,9.74,52.52
4,9.27,1:02.04,2,9.25,1:01.78,3,9.24,1:01.92,1,9.18,1:01.70
4,9.17,1:11.21,2,9.19,1:10.97,3,9.16,1:11.08,1,9.17,1:10.87
4,9.08,1:20.29,2,9.02,1:19.99,3,9.05,1:20.13,1,8.99,1:19.86
3,9.13,1:29.419,2,9.17,1:29.156,0,,PEN,1,9.21,1:29.063
