Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
1,13.48,13.48,2,13.63,,3,13.74,13.74,4,13.89,13.89,5,14.00,14.00
1,10.88,24.36,2,10.85,,3,10.85,24.59,4,10.81,24.70,5,10.82,24.82
1,10.62,34.98,2,10.62,,3,10.61,35.20,4,10.63,35.33,5,10.60,35.42
1,10.32,45.30,2,10.32,,3,10.34,45.54,4,10.29,45.62,5,10.30,45.72
1,10.04,55.34,2,9.93,,3,9.96,55.50,4,9.94,55.56,5,10.02,55.74
2,9.57,1:04.91,1,9.48,,3,9.52,1:05.02,4,9.56,1:05.12,5,9.57,1:05.31
2,9.53,1:14.44,1,9.53,,3,9.51,1:14.53,4,9.53,1:14.65,5,9.65,1:14.96
2,9.50,1:23.94,1,9.57,,3,9.52,1:24.05,4,9.51,1:24.16,5,9.91,1:24.87
1,9.59,1:33.53,2,9.93,,4,10.41,1:34.46,3,9.81,1:33.97,4,10.33,1:35.200
