Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,14.37,14.37,1,14.25,14.25,3,14.39,14.39,4,14.55,14.55
3,10.48,24.85,2,10.50,24.75,1,10.19,24.58,4,10.47,25.02
3,9.86,34.71,2,9.88,34.63,1,9.96,34.54,4,9.79,34.81
3,9.85,44.56,2,9.84,44.47,1,9.81,44.35,4,9.84,44.65
3,9.51,54.07,2,9.50,53.97,1,9.52,53.87,4,9.52,54.17
3,9.52,1:03.59,2,9.51,1:03.48,1,9.52,1:03.39,4,9.52,1:03.69
3,9.41,1:13.00,1,9.35,1:12.83,2,9.47,1:12.86,4,9.41,1:13.10
2,9.24,1:22.24,1,9.30,1:22.13,3,9.56,1:22.42,4,9.35,1:22.45
2,9.48,1:31.716,1,9.51,1:31.634,3,9.57,1:31.989,4,9.68,1:32.129
