Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
1,13.98,13.98,2,14.12,14.12,4,14.36,14.36,3,14.21,14.21
1,11.58,25.56,2,11.58,25.70,4,11.59,25.95,3,11.61,25.82
2,11.42,36.98,1,11.22,36.92,4,11.31,37.26,3,11.29,37.11
2,10.61,47.59,1,10.64,47.56,4,10.60,47.86,3,10.63,47.74
2,10.00,57.59,1,9.89,57.45,4,9.96,57.82,3,9.95,57.69
3,9.85,1:07.44,2,9.99,1:07.44,4,9.81,1:07.63,1,9.63,1:07.32
3,9.81,1:17.25,2,9.72,1:17.16,4,9.76,1:17.39,1,9.74,1:17.06
3,9.53,1:26.78,1,9.44,1:26.60,4,9.61,1:27.00,2,9.64,1:26.70
3,9.61,1:36.381,1,9.62,1:36.211,4,10.20,1:37.194,2,9.59,1:36.288
