Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME
3,13.21,13.21,5,13.58,13.58,2,13.04,13.04,1,12.84,12.84,4,13.35,13.35
3,9.27,22.48,5,9.29,22.87,2,9.31,22.35,1,9.40,22.24,4,9.26,22.61
3,8.99,31.47,5,9.14,32.01,2,9.01,31.36,1,9.02,31.26,4,9.04,31.65
3,8.93,40.40,5,9.38,41.39,2,8.93,40.29,1,8.93,40.19,4,8.94,40.59
3,8.99,49.39,5,9.76,51.15,2,8.99,49.28,1,8.97,49.16,4,9.14,49.73
3,9.06,58.45,5,10.47,1:01.62,1,9.06,58.34,2,9.20,58.36,4,9.33,59.06
2,9.22,1:07.67,5,11.17,1:12.79,1,9.20,1:07.54,3,9.55,1:07.91,4,9.65,1:08.71
2,9.34,1:17.01,5,11.76,1:24.55,1,9.35,1:16.89,3,9.33,1:17.24,4,9.88,1:18.59
2,9.51,1:26.52,5,12.01,1:36.56,1,9.52,1:26.41,3,9.35,1:26.59,4,10.20,1:28.79
