BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME
3,17.21,17.21,4,17.32,17.32,2,17.08,17.08,1,16.98,16.98
3,14.04,31.25,4,13.99,31.31,2,14.01,31.09,1,13.99,30.97
2,12.40,43.65,3,12.52,43.83,1,12.55,43.64,4,12.86,43.83
1,11.85,55.50,2,11.68,55.51,3,11.96,55.60,4,11.88,55.71
3,11.52,1:07.02,2,11.41,1:06.92,1,11.26,1:06.86,4,11.46,1:07.17
3,10.45,1:17.47,2,10.38,1:17.30,1,10.13,1:16.99,4,10.81,1:17.98
3,9.72,1:27.19,2,9.80,1:27.10,1,10.01,1:27.00,4,10.73,1:28.71
3,10.00,1:37.19,2,9.95,1:37.05,1,9.97,1:36.97,4,11.21,1:39.92
3,10.05,1:47.240,1,9.89,1:46.939,2,10.16,1:47.127,4,11.56,1:51.479
