Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
1,6.65,6.65,4,7.43,7.43,3,6.80,6.80,2,6.79,6.79
1,9.08,15.73,4,10.21,17.65,3,9.32,16.13,2,9.23,16.03
1,8.69,24.43,4,10.04,27.69,3,8.63,24.77,2,8.62,24.65
1,8.97,33.40,4,10.57,38.27,3,8.88,33.65,2,8.90,33.55
2,9.30,42.695,4,10.76,49.030,1,9.03,42.672,3,9.65,43.195
