Siyu WANG POSITION,Siyu WANG LAP TIME,Siyu WANG ELAPSED TIME,Gloria CONFORTOLA POSITION,Gloria CONFORTOLA LAP TIME,Gloria CONFORTOLA ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME,Anna RUYSSCHAERT POSITION,Anna RUYSSCHAERT LAP TIME,Anna RUYSSCHAERT ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME
1,8.94,8.94,2,9.05,9.05,4,9.37,9.37,6,9.52,,3,9.20,9.20,5,9.48,9.48
2,12.39,21.33,3,12.38,21.43,5,12.37,21.74,6,12.38,,4,12.35,21.55,1,11.71,21.19
4,12.21,33.54,3,12.02,33.45,6,11.99,33.73,2,11.47,,5,12.02,33.57,1,12.09,33.28
3,12.15,45.69,4,12.30,45.75,6,12.26,45.99,2,12.25,,5,12.23,45.80,1,12.24,45.52
1,11.31,57.00,4,11.55,57.30,6,11.48,57.47,2,11.48,,5,11.60,57.40,3,11.69,57.21
1,11.97,1:08.97,4,12.01,1:09.31,5,11.88,1:09.35,2,11.97,,6,12.00,1:09.40,3,12.00,1:09.21
2,10.84,1:19.81,4,10.73,1:20.04,1,10.21,1:19.56,3,10.86,,6,10.75,1:20.15,5,10.85,1:20.06
2,10.24,1:30.05,4,10.30,1:30.34,1,10.39,1:29.95,3,10.27,,6,10.43,1:30.58,5,10.39,1:30.45
3,10.60,1:40.65,4,10.32,1:40.66,1,10.38,1:40.33,2,10.27,,6,10.33,1:40.91,5,10.37,1:40.82
4,10.37,1:51.02,3,10.18,1:50.84,1,10.29,1:50.62,2,10.25,,6,10.51,1:51.42,5,10.41,1:51.23
4,10.25,2:01.27,3,10.24,2:01.08,1,10.18,2:00.80,2,10.22,,6,10.66,2:02.08,5,10.44,2:01.67
3,10.39,2:11.66,2,10.40,2:11.48,4,11.11,2:11.91,1,10.42,,6,11.32,2:13.40,5,11.05,2:12.72
3,10.83,2:22.49,2,10.76,2:22.24,4,11.15,2:23.06,1,10.80,,6,12.14,2:25.54,5,11.42,2:24.14
2,10.97,2:33.468,1,10.76,2:33.004,3,11.42,2:34.486,2,11.08,,5,12.80,2:38.348,4,11.83,2:35.970
