Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
2,14.06,14.06,3,14.09,14.09,1,14.05,14.05,4,14.37,14.37
2,10.99,25.05,4,11.15,25.24,3,11.13,25.19,1,10.66,25.03
1,10.67,35.73,4,10.67,35.92,2,10.55,35.74,3,10.72,35.75
2,10.34,46.07,3,10.16,46.08,4,10.44,46.18,1,10.17,45.93
2,9.72,55.80,3,9.86,55.94,4,9.82,56.00,1,9.87,55.80
1,9.40,1:05.20,2,9.30,1:05.25,3,9.36,1:05.37,4,9.68,1:05.49
1,9.41,1:14.61,2,9.47,1:14.73,3,9.52,1:14.89,4,9.41,1:14.90
1,9.27,1:23.89,2,9.21,1:23.94,3,9.58,1:24.47,4,9.57,1:24.48
1,9.56,1:33.442,2,9.79,1:33.722,4,10.07,1:34.536,3,9.76,1:34.232
