de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,6.85,6.85,2,7.02,7.02,3,7.15,7.15,4,7.27,,5,7.41,7.41
1,8.95,15.80,2,8.84,15.86,3,8.82,15.97,4,8.85,,5,8.81,16.22
1,8.40,24.20,2,8.36,24.22,3,8.38,24.35,5,8.32,,4,8.21,24.43
2,8.52,32.72,4,8.62,32.84,1,8.35,32.70,5,8.62,,3,8.38,32.81
2,8.82,41.54,3,9.06,41.906,1,8.74,41.44,3,8.79,,4,22.43,55.246
