Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,6.66,6.66,4,7.28,7.28,3,7.06,7.06,2,6.78,6.78
2,9.13,15.79,4,9.20,16.48,3,8.93,15.99,1,8.94,15.72
3,8.90,24.69,4,8.64,25.12,2,8.56,24.55,1,8.73,24.45
3,8.74,33.43,4,9.00,34.12,2,8.82,33.37,1,8.84,33.29
3,9.05,42.478,4,9.11,43.224,2,9.03,42.392,1,9.05,42.340
