Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,6.86,6.86,4,11.92,11.92,3,7.24,7.24,2,6.94,6.94
1,9.25,16.11,4,14.14,26.06,3,9.18,16.42,2,9.27,16.21
1,8.75,24.86,4,9.75,35.81,3,8.63,25.05,2,8.73,24.94
1,8.84,33.70,4,9.43,45.24,3,8.81,33.86,2,8.86,33.80
2,9.07,42.770,0,,PEN,3,9.10,42.952,1,8.81,42.610
