LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
1,8.92,8.92,2,9.08,9.08,3,9.27,9.27,4,9.54,9.54
1,12.97,21.89,2,12.90,21.98,3,12.83,22.10,4,12.81,22.35
2,12.39,34.28,3,12.40,34.38,1,12.06,34.16,4,12.23,34.58
2,11.91,46.19,3,11.92,46.30,1,11.87,46.03,4,11.87,46.45
2,11.16,57.35,3,11.19,57.49,1,11.17,57.20,4,11.22,57.67
3,11.08,1:08.43,2,10.88,1:08.37,1,11.12,1:08.32,4,10.91,1:08.58
3,11.08,1:19.51,2,11.06,1:19.43,1,11.03,1:19.35,4,11.06,1:19.64
2,10.51,1:30.02,3,10.60,1:30.03,1,10.60,1:29.95,4,10.61,1:30.25
1,9.73,1:39.75,3,9.93,1:39.96,2,9.93,1:39.88,4,9.83,1:40.08
1,9.45,1:49.20,3,9.38,1:49.34,2,9.35,1:49.23,4,9.40,1:49.48
3,9.74,1:58.94,2,9.56,1:58.90,1,9.43,1:58.66,4,9.59,1:59.07
3,9.53,2:08.47,2,9.45,2:08.35,1,9.26,2:07.92,4,9.72,2:08.79
3,9.80,2:18.27,2,9.73,2:18.08,1,9.65,2:17.57,4,10.23,2:19.02
3,10.08,2:28.348,2,9.99,2:28.070,1,10.07,2:27.632,4,10.69,2:29.706
