Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,6.86,6.86,1,6.70,6.70,3,6.95,6.95,4,7.09,7.09
2,8.57,15.43,1,8.59,15.29,3,8.70,15.65,4,8.64,15.73
2,8.10,23.53,1,8.19,23.48,4,8.27,23.92,3,8.08,23.81
3,8.57,32.10,1,8.38,31.86,4,8.28,32.20,2,8.28,32.09
3,8.63,40.73,2,8.77,40.63,4,8.59,40.79,1,8.36,40.45
