SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
3,13.85,13.85,1,13.78,13.78,4,14.12,14.12,2,13.80,13.80,0,,
1,10.75,24.61,2,10.94,24.72,4,10.92,25.04,3,11.00,24.80,0,,
1,10.22,34.84,2,10.17,34.90,4,10.29,35.34,3,10.19,35.00,0,,
1,9.50,44.34,3,9.57,44.47,4,9.35,44.69,2,9.35,44.35,0,,
1,9.38,53.72,2,9.31,53.78,4,9.46,54.16,3,9.45,53.81,0,,
2,9.23,1:02.95,3,9.21,1:02.99,4,9.30,1:03.46,1,9.12,1:02.94,0,,
1,8.97,1:11.93,2,9.02,1:12.02,4,9.23,1:12.70,3,9.29,1:12.23,0,,
1,8.93,1:20.86,2,8.93,1:20.96,4,9.30,1:22.00,3,9.42,1:21.65,0,,
1,9.14,1:29.995,2,9.36,1:30.312,4,9.47,1:31.461,5,9.83,1:31.479,3,,1:30.561
