HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
2,12.86,12.86,1,12.76,12.76,5,13.11,13.11,4,13.04,13.04,3,12.97,12.97
1,9.69,22.55,3,9.86,22.62,5,9.64,22.75,4,9.68,22.72,2,9.61,22.58
3,9.47,32.02,4,9.49,32.11,1,9.05,31.80,5,9.46,32.18,2,9.32,31.90
3,9.27,41.29,4,9.26,41.37,2,9.33,41.13,5,9.21,41.39,1,9.15,41.05
3,9.34,50.63,4,9.36,50.73,2,9.37,50.50,5,9.43,50.82,1,9.37,50.42
2,9.11,59.74,4,9.07,59.80,3,9.25,59.75,5,9.02,59.84,1,9.22,59.64
1,8.86,1:08.60,3,8.88,1:08.68,2,8.88,1:08.63,5,8.90,1:08.74,4,9.05,1:08.69
1,8.80,1:17.40,2,8.78,1:17.46,3,9.03,1:17.66,4,9.03,1:17.77,5,9.23,1:17.92
1,9.11,1:26.51,2,9.11,1:26.57,0,9.16,1:26.82,4,9.05,1:26.826,5,9.14,1:27.067
