Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Leonardo PALLA POSITION,Leonardo PALLA LAP TIME,Leonardo PALLA ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME
5,11.58,11.58,3,11.28,11.28,4,11.35,11.35,2,11.15,11.15,1,11.01,11.01,6,11.78,11.78
4,15.89,27.47,5,16.36,27.64,2,15.91,27.26,3,16.15,27.30,1,16.17,27.18,6,15.95,27.73
4,15.33,42.80,5,15.33,42.97,2,15.29,42.55,3,15.27,42.57,1,15.27,42.45,6,15.38,43.11
3,13.11,55.91,5,13.20,56.17,4,13.50,56.05,1,13.09,55.66,2,13.37,55.82,6,13.19,56.30
2,12.29,1:08.20,5,12.33,1:08.50,4,12.25,1:08.30,1,12.44,1:08.10,3,12.44,1:08.26,6,12.38,1:08.68
2,11.45,1:19.65,4,11.38,1:19.88,3,11.38,1:19.68,1,11.45,1:19.55,5,11.78,1:20.04,6,11.49,1:20.17
1,11.06,1:30.71,2,10.95,1:30.83,6,19.76,1:39.44,5,16.74,1:36.29,3,10.92,1:30.96,4,10.88,1:31.05
1,10.55,1:41.26,2,10.55,1:41.38,6,11.28,1:50.72,5,9.86,1:46.15,3,10.52,1:41.48,4,10.51,1:41.56
1,10.49,1:51.75,2,10.47,1:51.85,6,11.21,2:01.93,5,9.45,1:55.60,3,10.50,1:51.98,4,10.50,1:52.06
1,10.44,2:02.19,2,10.35,2:02.20,6,11.21,2:13.14,5,9.45,2:05.05,3,10.46,2:02.44,4,10.51,2:02.57
2,9.77,2:11.96,1,9.66,2:11.86,6,11.44,2:24.58,5,9.53,2:14.58,3,9.81,2:12.25,4,9.84,2:12.41
2,9.40,2:21.36,1,9.38,2:21.24,6,11.84,2:36.42,5,9.72,2:24.30,3,9.68,2:21.93,4,9.66,2:22.07
1,9.31,2:30.67,2,9.45,2:30.69,6,12.13,2:48.55,5,10.00,2:34.30,3,9.80,2:31.73,4,9.76,2:31.83
1,9.22,2:39.891,2,9.51,2:40.193,0,,PEN,5,10.04,2:44.335,4,10.11,2:41.834,3,9.85,2:41.672
