Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
5,8.80,8.80,1,8.36,8.36,6,8.95,8.95,2,8.38,8.38,3,8.41,8.41,4,8.77,8.77
5,12.04,20.85,2,12.20,20.57,6,12.13,21.08,1,12.08,20.46,3,12.17,20.59,4,12.07,20.84
4,11.49,32.34,2,11.38,31.95,6,11.38,32.46,1,11.40,31.86,3,11.41,32.01,5,11.53,32.37
5,11.14,43.49,2,11.23,43.18,6,11.24,43.71,3,11.36,43.22,1,11.05,43.06,4,11.06,43.43
4,10.28,53.77,1,10.15,53.33,6,10.14,53.85,3,10.37,53.59,2,10.31,53.38,5,10.39,53.83
5,10.15,1:03.93,2,10.20,1:03.54,6,10.08,1:03.93,3,10.02,1:03.62,1,9.98,1:03.36,4,10.08,1:03.92
6,9.73,1:13.67,3,9.61,1:13.16,4,9.44,1:13.38,1,9.30,1:12.92,2,9.70,1:13.06,5,9.63,1:13.56
5,9.64,1:23.31,3,9.79,1:22.96,6,9.94,1:23.32,2,9.96,1:22.89,1,9.77,1:22.84,4,9.53,1:23.10
5,9.83,1:33.15,4,9.75,1:32.71,6,9.90,1:33.23,1,9.71,1:32.60,3,9.79,1:32.63,2,9.53,1:32.63
5,9.61,1:42.76,4,9.59,1:42.30,6,10.10,1:43.33,3,9.68,1:42.29,2,9.63,1:42.27,1,7.74,1:40.38
5,9.51,1:52.28,3,9.58,1:51.89,6,9.81,1:53.15,2,9.51,1:51.80,1,9.51,1:51.78,4,11.63,1:52.01
3,9.53,2:01.81,2,9.17,2:01.06,4,10.84,2:03.99,1,9.21,2:01.01,6,32.04,2:23.82,5,27.71,2:19.73
3,10.05,2:11.87,2,9.64,2:10.70,4,11.20,2:15.20,1,9.33,2:10.35,5,18.80,2:42.63,6,23.49,2:43.22
3,10.49,2:22.356,2,9.71,2:20.407,4,11.97,2:27.163,1,9.75,2:20.095,6,15.13,2:57.756,5,13.41,2:56.626
