PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
4,9.87,9.87,6,9.92,9.92,1,9.75,9.75,5,9.90,9.90,2,9.76,9.76,3,9.84,9.84
4,11.47,21.34,6,11.78,21.71,3,11.47,21.23,1,10.68,20.59,5,11.76,21.52,2,11.26,21.11
3,11.01,32.36,5,10.69,32.41,4,11.17,32.40,1,11.10,31.69,6,11.11,32.63,2,10.92,32.03
3,10.97,43.34,5,11.13,43.55,4,10.97,43.38,2,11.43,43.13,6,11.10,43.74,1,10.67,42.70
5,11.43,54.77,6,11.29,54.84,2,10.90,54.28,3,11.15,54.28,4,10.77,54.51,1,11.24,53.94
4,10.82,1:05.60,6,10.88,1:05.73,3,11.24,1:05.52,1,10.88,1:05.17,5,11.11,1:05.62,2,11.33,1:05.28
4,10.85,1:16.46,5,10.77,1:16.50,3,10.85,1:16.38,1,10.59,1:15.76,6,10.96,1:16.59,2,10.77,1:16.06
3,10.46,1:26.92,4,10.55,1:27.05,5,10.68,1:27.06,2,11.10,1:26.87,6,10.65,1:27.24,1,10.80,1:26.86
1,9.97,1:36.89,2,10.13,1:37.18,3,10.14,1:37.21,6,10.69,1:37.56,5,10.31,1:37.56,4,10.62,1:37.48
3,10.93,1:47.82,2,10.61,1:47.80,4,10.63,1:47.84,6,10.79,1:48.36,5,10.37,1:47.94,1,9.86,1:47.35
1,10.12,1:57.95,2,10.20,1:58.01,3,10.20,1:58.05,6,10.51,1:58.87,5,10.60,1:58.55,4,10.71,1:58.07
1,10.23,2:08.18,3,10.29,2:08.30,4,10.33,2:08.38,6,10.82,2:09.69,5,10.47,2:09.02,2,10.16,2:08.23
1,9.92,2:18.11,3,10.19,2:18.50,4,10.19,2:18.57,6,11.56,2:21.26,5,10.75,2:19.78,2,10.08,2:18.31
2,10.56,2:28.661,3,10.27,2:28.770,4,10.58,2:29.146,6,12.44,2:33.692,5,11.23,2:31.004,1,10.21,2:28.511
