Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
1,6.660,6.660,2,7.100,7.100,4,7.680,7.680,3,7.440,7.440
1,9.360,16.020,2,9.220,16.320,3,8.920,16.600,4,9.330,16.780
1,8.710,24.740,2,8.780,25.110,3,8.720,25.330,4,8.840,25.620
4,23.780,48.520,1,8.830,33.940,2,8.940,34.280,3,9.290,34.920
4,24.790,1:13.310,1,9.380,43.330,2,9.140,43.420,3,9.510,44.430
