Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,6.83,6.83,2,6.98,6.98,3,7.08,7.08,4,7.33,7.33
1,8.86,15.69,2,8.82,15.80,3,8.78,15.86,4,8.70,16.03
1,8.48,24.17,3,8.47,24.27,2,8.36,24.22,4,8.33,24.36
1,8.53,32.70,3,8.76,33.03,2,8.64,32.86,4,8.77,33.13
4,9.34,42.040,2,8.75,41.780,1,8.78,41.638,3,8.82,41.942
