GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
2,7.26,7.26,3,7.51,7.51,1,6.92,6.92
2,9.47,16.73,3,9.41,16.92,1,9.00,15.92
2,9.14,25.87,3,8.96,25.88,1,8.63,24.55
3,9.53,35.40,2,9.24,35.12,1,8.77,33.32
3,9.43,44.83,2,9.61,44.73,1,9.17,42.49
