Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
2,13.35,13.35,4,13.64,13.64,1,13.31,13.31,5,13.78,13.78,3,13.51,13.51
2,9.71,23.06,5,9.66,23.30,3,9.87,23.18,4,9.42,23.20,1,9.53,23.04
2,9.47,32.53,5,9.51,32.81,4,9.53,32.71,3,9.42,32.62,1,9.36,32.40
2,9.33,41.86,5,9.40,42.21,4,9.34,42.05,3,9.35,41.97,1,9.32,41.72
3,9.16,51.02,5,9.18,51.39,2,8.94,50.99,4,9.22,51.19,1,9.11,50.83
4,9.30,1:00.32,5,9.28,1:00.67,2,8.91,59.90,3,8.90,1:00.09,1,8.94,59.77
4,9.41,1:09.73,5,9.48,1:10.15,2,8.93,1:08.83,3,8.90,1:08.99,1,8.93,1:08.70
4,9.69,1:19.42,5,9.80,1:19.95,2,9.08,1:17.91,3,9.14,1:18.13,1,9.03,1:17.73
4,10.22,1:29.636,5,9.96,1:29.904,2,9.49,1:27.398,3,9.40,1:27.523,1,9.24,1:26.964
