Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
3,7.698,7.698,6,8.029,8.029,2,7.539,7.539,4,7.882,7.882,5,7.999,7.999,1,7.375,7.375
4,10.112,17.809,5,9.870,17.899,1,10.040,17.579,3,9.914,17.795,6,9.903,17.901,2,10.241,17.616
3,10.051,27.860,6,10.151,28.050,2,10.200,27.778,4,10.125,27.920,5,10.079,27.980,1,10.067,27.682
3,10.327,38.187,6,10.335,38.384,1,10.131,37.909,4,10.380,38.300,5,10.352,38.331,2,10.364,38.046
4,10.260,48.447,6,10.210,48.593,1,10.273,48.182,3,10.138,48.437,5,10.186,48.517,2,10.215,48.260
3,10.177,58.623,6,10.124,58.717,1,10.162,58.344,4,10.247,58.683,5,10.175,58.691,2,10.135,58.395
4,10.189,1:08.811,5,10.174,1:08.891,2,10.220,1:08.563,3,10.127,1:08.810,6,10.212,1:08.902,1,10.123,1:08.517
3,10.079,1:18.889,6,10.108,1:18.998,1,10.045,1:18.608,4,10.094,1:18.904,5,10.065,1:18.966,2,10.210,1:18.727
6,10.162,1:29.051,4,9.774,1:28.772,1,9.923,1:28.530,2,9.728,1:28.632,3,9.704,1:28.670,5,10.064,1:28.790
5,10.099,1:39.149,3,9.990,1:38.762,4,10.251,1:38.780,1,10.023,1:38.654,2,10.038,1:38.708,6,10.530,1:39.320
5,10.180,1:49.329,3,10.024,1:48.786,4,10.413,1:49.193,1,9.926,1:48.580,2,9.954,1:48.661,6,11.200,1:50.520
4,10.429,1:59.757,3,10.277,1:59.063,5,10.949,2:00.141,2,9.776,1:58.355,1,9.688,1:58.348,6,11.492,2:02.011
4,10.797,2:10.554,3,10.625,2:09.687,5,11.173,2:11.313,1,9.873,2:08.228,2,9.897,2:08.245,6,12.295,2:14.306
4,11.17,2:21.715,3,11.24,2:20.919,5,11.61,2:22.919,2,10.32,2:18.541,1,10.13,2:18.375,6,13.12,2:27.422
