KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,7.30,7.30,1,6.92,6.92,3,7.36,7.36,4,7.39,7.39
3,9.67,16.97,1,8.96,15.88,4,9.66,17.02,2,9.39,16.78
3,8.79,25.76,1,8.52,24.40,4,8.80,25.82,2,8.88,25.66
4,9.08,34.84,1,8.69,33.09,3,8.93,34.75,2,9.01,34.67
4,9.69,44.523,1,8.90,41.987,2,9.05,43.797,3,9.44,44.109
