PARK Junghyun POSITION,PARK Junghyun LAP TIME,PARK Junghyun ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
4,14.91,14.91,3,14.80,14.80,1,14.51,14.51,2,14.65,14.65
4,10.28,25.19,3,10.30,25.10,1,10.18,24.69,2,10.30,24.95
4,9.83,35.02,3,9.82,34.92,1,9.96,34.65,2,9.82,34.77
4,9.64,44.66,3,9.66,44.58,1,9.71,44.36,2,9.71,44.48
4,9.67,54.33,3,9.67,54.25,1,9.69,54.05,2,9.67,54.15
4,9.63,1:03.96,3,9.59,1:03.84,1,9.66,1:03.71,2,9.67,1:03.82
4,9.51,1:13.47,1,9.31,1:13.15,3,9.63,1:13.34,2,9.51,1:13.33
4,9.49,1:22.96,1,9.46,1:22.61,3,9.55,1:22.89,2,9.39,1:22.72
4,9.51,1:32.459,1,9.66,1:32.253,3,9.52,1:32.394,2,9.66,1:32.360
