van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,7.40,7.40,1,7.21,7.21,3,7.50,7.50
2,9.32,16.72,1,9.36,16.57,3,9.33,16.83
2,8.84,25.56,1,8.89,25.46,3,8.83,25.66
1,9.05,34.61,2,9.26,34.72,3,9.13,34.79
1,9.35,43.947,2,9.34,44.055,3,9.31,44.095
